"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1S016954","61619","BEDFORD F","Hillsborough","1802 BEDFORD LANE, SUN CITY CENTER, FL 33570-6023","24","08/06/1973","Approved","Recorded","MA00014609","BEDFORD F CONDO ASSOC.","C/O STERLING MANAGEMENT, INC.","1904 CLUBHOUSE DR","SUN CITY CENTER","FL","33573"
"PR1S013480","59822","WINDRUSH NORTH II A CONDO","Pinellas","WINDRUSH BAY BOULEVARD, TARPON SPRINGS, FL 33589","22","08/14/1985","Approved","Recorded","MA00004666","WINDRUSH NORTH II CONDO ASSOC INC","","7916 EVOLUTIONS WAY, SUITE 210","TRINITY","FL","34655"
"PR1S013482","59824","WINDRUSH NORTH - IV, A CONDO","Pinellas","WINDRUSH BAY BLVD & FL AVENUE, TARPON SPRINGS, FL 33589","6","03/16/1987","Approved","Recorded","MA00002561","WINDRUSH NORTH - IV CONDO ASSN INC","C/O COMMUNITY MANAGEMENT SERVICES, INC.","5207 TROUBLE CREEK RD","NEW PORT RICHEY","FL","34652"
"PR1S013488","59826","INDIAN BEACH VILLAS ONE","Pinellas","2011 GULF BLVD, INDIAN ROCKS BEACH, FL 34635-2965","8","02/06/1980","Approved","Recorded","MA00000936","INDIAN BEACH VILLAS ONE CONDO ASSN INC","","821 BAYVIEW DRIVE","BELLEAIR","FL","33756"
"PR1S013489","59827","INDIAN BEACH VILLAS TWO","Pinellas","2101 & 2109 GULF BLVD, INDIAN ROCKS BEACH, FL 34635-2965","8","03/01/1980","Approved","Recorded","MA00012100","INDIAN BEACH VILLAS TWO CONDO INC","C/O PATRICK FINAN","2101 GULF BLVD 4A","INDIAN ROCKS BEACH","FL","33785"
"PR1S013529","59839","LA MOUETTE CONDO","Pinellas","20064 GULF BOULEVARD, INDIAN SHORES, FL 34635-2438","4","12/01/1979","Approved","Recorded","MA00001341","LA MOUETTE CONDO ASSN","C/O CMG MANAGEMENT PARTNERS","1901 ULMERTON ROAD, SUITE #625-3","CLEARWATER","FL","33762"
"PR1S013531","59840","WALDORF, A CONDO","Collier","3377 GULF SHORE BOULEVARD N, NAPLES, FL 34103","32","12/27/1985","Approved","Recorded","MA00006572","WALDORF CONDO ASSOC., INC.","","3377 GULF SHORE BLVD N","NAPLES","FL","34103"
"PR1S015636","60745","VERONA VILLAS","Highlands","136 NORTH VERONA AVENUE, AVON PARK, FL 33825-3173","20","01/01/1970","Approved","Recorded","MA00010080","VERONA VILLAS INC","","PO BOX 1564","AVON PARK","FL","33826"
"PR1S018250","62491","ESTERO BEACH CLUB EAST","Lee","2650 ESTERO BLVD, FORT MYERS BEACH, FL 33931-3343","49","03/08/1973","Approved","Recorded","MA00010591","ESTERO BEACH CLUB EAST","","10231 METRO PKWY","FORT MYERS","FL","33966"
"PR1S018274","62505","LA SIESTA CONDO","Sarasota","909 BEACH RD, SARASOTA, FL 34242-2115","78","11/08/1972","Approved","Recorded","MA00012044","LA SIESTA CONDO ASSN, INC.","","909 BEACH RD","SARASOTA","FL","34242-2199"
"PR1S018275","62506","BAYWOOD COLONY VILLAS 1, 2","Sarasota","5895 TIDEWOOD AVENUE, SARASOTA, FL 34231-3131","84","07/29/1971","Approved","Recorded","MA00010720","BAYWOOD COLONY VILLAS ASSN INC PH 1 & 2","C/O CONDOMINIUM ASSOCIATES","570 CARILLON PARKWAY","ST. PETERSBURG","FL","33716"
"PR1S018276","62507","COLONNADES I CONDO, THE","Lee","EAST GULF DR, SANIBEL, FL 33957","20","01/01/1968","Approved","Recorded","MA00010856","COLANNADES CONDO ASSN OF SANIBEL INC","","419 E GULF DR","SANIBEL","FL","33957-1015"
"PR1S018284","62512","AMBASSADOR CLUB OF NAPLES","Collier","GULFSHORE BOULEVARD NORTH, NAPLES, FL 33940-4662","32","01/01/1967","Approved","Recorded","MA00009421","AMBASSADOR CLUB OF NAPLES INC","C/O KPG ACCOUNTING SERVICES","3400 TAMIAMI TRAIL N","NAPLES","FL","34103"
"PR1S018294","62517","EIGHT BRITTONS OF BARDMOOR CONDO","Pinellas","8320 BARDMOOR BLVD #D, LARGO, FL 34647-2047","8","01/17/1973","Approved","Recorded","MA00015611","EIGHT BRITTONS OF BARDMOOR INC","C/O ROBERT PALMIERO","8320 BARDMOOR BLVD C","SEMINOLE","FL","33777"
"PR1S018312","62531","SUNSET ROYALE ASSN.","Lee","711 BEACH RD., SIESTA KEY, FL 33581","34","04/01/1968","Approved","Recorded","MA00002166","SUNSET ROYALE ASSN INC","","711 BEACH RD","SARASOTA","FL","34242"
"PR1S018314","62532","GULF POINT","Sarasota","200 THE ESPLANADE N, VENICE, FL 34285-1509","59","01/05/1968","Approved","Recorded","MA00010301","GULF POINT ASSN., INC.","C/O KEYS-CALDWELL INC","1162 INDIAN HILLS BLVD","VENICE","FL","34293"
"PR1S018317","62535","MARILYN PINES CONDO ASSN II","Pinellas","2060 MARILYN ST, CLEARWATER, FL 34625-2521","48","05/04/1973","Approved","Recorded","MA00011214","MARILYN PINES CONDO ASSN UNIT 2","","24701 US HIGHWAY 19 N SUITE 102","CLEARWATER","FL","33763"
"PR1S016975","61635","GREENBRIAR CONDO APTS #2","Pinellas","2001 GREENBRIAR BLVD #2, CLEARWATER, FL 34623-1406","18","06/12/1970","Approved","Recorded","MA00000641","GREENBRIAR CONDO APARTMENTS II ASSN INC.","C/O FRANKLY COASTAL PROPERTY MGMT LLC","PO BOX 1294","TARPON SPRINGS","FL","34688"
"PR1S016977","61637","TARPON CENTER VILLAS","Sarasota","909 GIBBS ROAD, VENICE, FL 34285-1002","11","06/16/1969","Approved","Recorded","MA00000277","TARPON CENTER VILLAS INC","C/O CASEY CONDO MGMT","4370 S TAMIAMI TRAIL #102","SARASOTA","FL","34231"
"PR1S016978","61638","LOWELL HOUSE CONDO","Sarasota","340 SOUTH OCEAN BOULEVARD, SARASOTA, FL 33581","29","05/18/1967","Approved","Recorded","MA00012695","LOWELL HOUSE CONDO ASSN INC","","340 S OCEAN BLVD","PALM BEACH","FL","33480-4220"
